Metric,Category,Language,Model,Vocab Size,Correlation
Accuracy,Words,English,BPE,50000,-0.44
Accuracy,Words,Dutch,BPE,50000,-0.36
Accuracy,Words,French,BPE,50000,-0.34
Accuracy,Words,Spanish,BPE,50000,-0.38
Accuracy,Non-Words,English,BPE,50000,0.18
Accuracy,Non-Words,Dutch,BPE,50000,0.13
Accuracy,Non-Words,French,BPE,50000,0.29
Accuracy,Non-Words,Spanish,BPE,50000,0.31
Reading Time,Words,English,BPE,50000,0.5
Reading Time,Words,Dutch,BPE,50000,0.45
Reading Time,Words,French,BPE,50000,0.5
Reading Time,Words,Spanish,BPE,50000,0.57
Reading Time,Non-Words,English,BPE,50000,-0.1
Reading Time,Non-Words,Dutch,BPE,50000,-0.03
Reading Time,Non-Words,French,BPE,50000,0.06
Reading Time,Non-Words,Spanish,BPE,50000,0.42
Accuracy,Words,English,UNI,50000,-0.38
Accuracy,Words,Dutch,UNI,50000,-0.34
Accuracy,Words,French,UNI,50000,-0.33
Accuracy,Words,Spanish,UNI,50000,-0.41
Accuracy,Non-Words,English,UNI,50000,0.2
Accuracy,Non-Words,Dutch,UNI,50000,0.17
Accuracy,Non-Words,French,UNI,50000,0.25
Accuracy,Non-Words,Spanish,UNI,50000,0.28
Reading Time,Words,English,UNI,50000,0.41
Reading Time,Words,Dutch,UNI,50000,0.44
Reading Time,Words,French,UNI,50000,0.41
Reading Time,Words,Spanish,UNI,50000,0.51
Reading Time,Non-Words,English,UNI,50000,-0.16
Reading Time,Non-Words,Dutch,UNI,50000,-0.13
Reading Time,Non-Words,French,UNI,50000,0
Reading Time,Non-Words,Spanish,UNI,50000,0.32
Accuracy,Words,English,WPC,50000,-0.45
Accuracy,Words,Dutch,WPC,50000,-0.38
Accuracy,Words,French,WPC,50000,-0.35
Accuracy,Words,Spanish,WPC,50000,-0.38
Accuracy,Non-Words,English,WPC,50000,0.21
Accuracy,Non-Words,Dutch,WPC,50000,0.15
Accuracy,Non-Words,French,WPC,50000,0.31
Accuracy,Non-Words,Spanish,WPC,50000,0.32
Reading Time,Words,English,WPC,50000,0.51
Reading Time,Words,Dutch,WPC,50000,0.47
Reading Time,Words,French,WPC,50000,0.51
Reading Time,Words,Spanish,WPC,50000,0.57
Reading Time,Non-Words,English,WPC,50000,-0.13
Reading Time,Non-Words,Dutch,WPC,50000,-0.07
Reading Time,Non-Words,French,WPC,50000,0.01
Reading Time,Non-Words,Spanish,WPC,50000,0.4